Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=2.6534)   P(D|M,rr[2]=0.2289)   P(D|M,rr[3]=0.4957)   P(D|M,rr[4]=1.0697)   Posterior mean        
1      2.07027e-12     1.3895e-19            6.2676e-12            1.2534e-12            1.21786e-15           0.273422              
2      1.8652e-07      2.05811e-19           6.73481e-07           4.14575e-09           7.97623e-14           0.23049               
3      4.48873e-15     1.37274e-19           7.11221e-15           9.11826e-15           9.21848e-17           0.382265              
4      3.38958e-10     1.31413e-19           1.18939e-09           4.20659e-11           5.86537e-15           0.237972              
5      8.29969e-17     1.11587e-19           3.1672e-17            2.52183e-16           1.9722e-17            0.502077              
6      9.24579e-09     1.59891e-19           3.31101e-08           4.79946e-10           2.59524e-14           0.232669              
7      3.43996e-10     2.1917e-19            1.19544e-09           5.43128e-11           1.22969e-14           0.240455              
8      4.43262e-13     1.1447e-19            1.32148e-12           2.8874e-13            3.7386e-16            0.27685               
9      3.42513e-11     1.70149e-19           1.14227e-10           1.02103e-11           4.05239e-15           0.250765              
10     1.15506e-11     1.28107e-19           3.86378e-11           3.32642e-12           1.46151e-15           0.250024              
11     3.22765e-14     1.30853e-19           7.02452e-14           4.68191e-14           2.51815e-16           0.336964              
12     9.5937e-13      1.21968e-19           2.85482e-12           6.30257e-13           7.96787e-16           0.277255              
13     1.35199e-11     1.60258e-19           4.43932e-11           4.72489e-12           2.93001e-15           0.254557              
14     3.51216e-10     2.44028e-19           1.22648e-09           4.95088e-11           1.00592e-14           0.239212              
15     4.82704e-13     1.26377e-19           1.25861e-12           4.94595e-13           8.67821e-16           0.304446              
16     2.03687e-07     1.78948e-19           7.35756e-07           4.23665e-09           7.19883e-14           0.230385              
17     1.74618e-07     1.65653e-19           6.30709e-07           3.67552e-09           6.19476e-14           0.230403              
18     7.09523e-10     1.84712e-19           2.47882e-09           9.8919e-11            1.72346e-14           0.239097              
19     5.2997e-15      8.80583e-20           8.76056e-15           1.04271e-14           8.10059e-17           0.376475              
20     5.26346e-13     1.45677e-19           1.54442e-12           3.67495e-13           5.99813e-16           0.280347              
21     5.62154e-06     3.43548e-19           2.03655e-05           5.74442e-08           4.5778e-13            0.229608              
22     8.37614e-09     1.60198e-19           2.99473e-08           4.83399e-10           3.03266e-14           0.233095              
23     1.14451e-15     1.11738e-19           1.07868e-15           3.03016e-15           5.67484e-17           0.433583              
24     2.56889e-15     1.11847e-19           4.19336e-15           5.09415e-15           5.39077e-17           0.378816              
25     1.18294e-09     2.14176e-19           4.14621e-09           1.51462e-10           2.36538e-14           0.238261              
26     1.77923e-11     1.35121e-19           5.96723e-11           4.96827e-12           1.91692e-15           0.249378              
27     3.13603e-15     1.49112e-19           4.72926e-15           6.5817e-15            9.60298e-17           0.389321              
28     9.32912e-14     1.21888e-19           2.19798e-13           1.18851e-13           3.94465e-16           0.323257              
29     1.66553e-12     1.44213e-19           4.93955e-12           1.11074e-12           1.44653e-15           0.277993              
30     1.64085e-11     1.86359e-19           5.36632e-11           5.94888e-12           3.92259e-15           0.255521              
31     1.16427e-12     1.27302e-19           3.46837e-12           7.61155e-13           8.60926e-16           0.277001              
32     5.04461e-14     9.75359e-20           1.19195e-13           6.39242e-14           2.14945e-16           0.322764              
33     5.28029e-12     1.6596e-19            1.59328e-11           3.24959e-12           3.26887e-15           0.274162              
34     2.17697e-07     1.76987e-19           7.86224e-07           4.6694e-09            8.1923e-14            0.230433              
35     6.68061e-09     1.89736e-19           2.39078e-08           3.62968e-10           2.24636e-14           0.232847              
36     1.07865e-11     1.26884e-19           3.63247e-11           2.86334e-12           1.07262e-15           0.248365              
