Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.1728)   P(D|M,rr[2]=0.3657)   P(D|M,rr[3]=0.5439)   P(D|M,rr[4]=0.7331)   P(D|M,rr[5]=0.9506)   P(D|M,rr[6]=1.2228)   P(D|M,rr[7]=1.6122)   P(D|M,rr[8]=2.3989)   Posterior mean        
1      1.36373e-12     3.60785e-12           5.44944e-12           1.58289e-12           2.45474e-13           2.29162e-14           1.22494e-15           3.35077e-17           4.90601e-19           0.33735               
2      2.87895e-07     2.16944e-06           1.27515e-07           5.98776e-09           2.18854e-10           5.42051e-12           7.49452e-14           4.51885e-16           1.18074e-18           0.184513              
3      3.67318e-15     1.63466e-15           1.32314e-14           1.01795e-14           3.5268e-15            7.16337e-16           8.94944e-17           6.8864e-18            3.49039e-19           0.477974              
4      2.75073e-10     1.64216e-09           4.95499e-10           5.82998e-11           4.41172e-12           2.1336e-13            5.88679e-15           7.95885e-17           5.64329e-19           0.227273              
5      8.1444e-17      2.82279e-18           1.22459e-16           2.45719e-16           1.83404e-16           7.52518e-17           1.87904e-17           2.85338e-18           2.52601e-19           0.634017              
6      9.90893e-09     6.94317e-08           9.12817e-09           6.74745e-10           3.55841e-11           1.25053e-12           2.52239e-14           2.34373e-16           8.81134e-19           0.198446              
7      2.54015e-10     1.44787e-09           5.08831e-10           6.89929e-11           6.06564e-12           3.4634e-13            1.14327e-14           1.77155e-16           1.07488e-18           0.235515              
8      3.07761e-13     7.83485e-13           1.23463e-12           3.7553e-13            6.17754e-14           6.26968e-15           3.81829e-16           1.31831e-17           3.20361e-19           0.342335              
9      2.23513e-11     9.637e-11             6.79003e-11           1.29863e-11           1.44982e-12           1.00113e-13           3.93728e-15           7.65775e-17           7.18937e-19           0.278002              
10     7.8803e-12      3.47616e-11           2.33762e-11           4.37891e-12           4.89457e-13           3.47469e-14           1.45604e-15           3.20495e-17           4.30831e-19           0.274906              
11     2.28394e-14     2.22515e-14           9.24479e-14           5.13348e-14           1.40924e-14           2.33935e-15           2.3577e-16            1.33918e-17           4.00512e-19           0.429293              
12     6.51916e-13     1.65185e-12           2.61714e-12           8.0015e-13            1.32017e-13           1.33526e-14           7.956e-16             2.51021e-17           4.18747e-19           0.342869              
13     8.49365e-12     3.44778e-11           2.69687e-11           5.72238e-12           7.19921e-13           5.76589e-14           2.74479e-15           6.6913e-17            7.04173e-19           0.28725               
14     2.69249e-10     1.57397e-09           5.0962e-10            6.47222e-11           5.37851e-12           2.94092e-13           9.57907e-15           1.57624e-16           1.14643e-18           0.231104              
15     3.36265e-13     4.88919e-13           1.46924e-12           5.99457e-13           1.18165e-13           1.34486e-14           8.63877e-16           2.81012e-17           4.47098e-19           0.389691              
16     3.20054e-07     2.41734e-06           1.36683e-07           6.18604e-09           2.17475e-10           5.16531e-12           6.84501e-14           4.0001e-16            1.02927e-18           0.184057              
17     2.75857e-07     2.08236e-06           1.18879e-07           5.41421e-09           1.90919e-10           4.52608e-12           5.93762e-14           3.39986e-16           8.99705e-19           0.184165              
18     5.20192e-10     3.04799e-09           9.79815e-10           1.2315e-10            1.00366e-11           5.26569e-13           1.56096e-14           2.06397e-16           9.79231e-19           0.230657              
19     4.50949e-15     2.12836e-15           1.66929e-14           1.23478e-14           4.05464e-15           7.62093e-16           8.44935e-17           5.36497e-18           2.21442e-19           0.47116               
20     3.30739e-13     7.9958e-13            1.33192e-12           4.29707e-13           7.5738e-14            8.3713e-15            5.6912e-16            2.23111e-17           4.92376e-19           0.348901              
21     1.26968e-05     9.87248e-05           2.76036e-06           8.68281e-08           2.31995e-09           4.29358e-11           4.34187e-13           1.75876e-15           2.4779e-18            0.178387              
22     8.45231e-09     5.86292e-08           8.29637e-09           6.54758e-10           3.67945e-11           1.37315e-12           2.90308e-14           2.71267e-16           9.28786e-19           0.200392              
23     1.03743e-15     1.63221e-16           2.86492e-15           3.30063e-15           1.52339e-15           3.85606e-16           5.66443e-17           4.77411e-18           2.62302e-19           0.534019              
24     2.14767e-15     1.0162e-15            7.83978e-15           5.85563e-15           2.00136e-15           4.101e-16             5.35247e-17           4.50005e-18           2.63455e-19           0.474803              
25     8.89763e-10     5.29772e-09           1.61155e-09           1.93019e-10           1.50403e-11           7.58287e-13           2.1812e-14            2.8244e-16            1.23461e-18           0.227811              
26     1.23799e-11     5.48811e-11           3.66407e-11           6.73564e-12           7.29971e-13           4.95867e-14           1.96733e-15           4.09234e-17           4.8946e-19            0.273943              
27     2.37237e-15     9.71855e-16           8.15978e-15           6.6534e-15            2.51658e-15           5.81744e-16           8.70308e-17           8.15395e-18           4.16042e-19           0.489444              
28     6.69261e-14     7.63483e-14           2.81444e-13           1.38956e-13           3.34862e-14           4.76258e-15           3.94542e-16           1.72284e-17           3.88558e-19           0.413286              
29     1.01345e-12     2.51534e-12           4.07829e-12           1.27484e-12           2.15371e-13           2.23364e-14           1.35856e-15           4.22046e-17           5.77729e-19           0.345387              
30     9.81348e-12     3.94256e-11           3.13272e-11           6.80017e-12           8.78954e-13           7.23161e-14           3.49832e-15           8.36693e-17           8.2237e-19            0.288952              
31     7.79633e-13     1.94507e-12           3.15089e-12           9.66939e-13           1.57737e-13           1.55147e-14           8.82558e-16           2.6322e-17            4.33705e-19           0.344034              
32     3.63813e-14     4.16299e-14           1.52926e-13           7.54503e-14           1.82104e-14           2.6036e-15            2.19255e-16           1.0175e-17            2.82512e-19           0.413206              
